X,stat.Text,stat.label
1149,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1150,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1151,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1152,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1153,CNN FOXDAYS This is WHYPresidentTrumpwon He loves ALL Americans We must unite as ONE PqpDMQsnl,positive
1154,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1155,The election of PresidentTrump had surprisingly little to do with the man himself It was a groundswell rejection of t,negative
1156,Happy days Mr President Keep making us proud,positive
1157,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1158,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention,neutral
1159,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1160,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1161,PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconventionSQfUKXX,neutral
1162,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1163,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1164,PresidentTrump is clearly having an influence on Israels hotheads DvisksipHj,positive
1165,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1166,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1167,Here is the face of the Democratsbeen dead for a while magaAmericas Greatest Mistake loyalty day VFQavZxAeC,neutral
1168,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a HappyLoyaltyD,positive
1169,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1170,I like that Hope it becomes an annual tradition that lasts well beyond PresidentTrump Wishing Americans a wlqvUisDYk,positive
1171,PresidentTrump is not going after WIKILEAKSis pursuing the leakers as he should,negative
1172,President Trump almost ready to take to the stageallaboutthehair browsonfleek presidenttrump PqfJxlYe,positive
1173,PresidentTrump is not going after WIKILEAKSis pursuing the leakers as he should,negative
1174,President Donald Trump The FirstDayswion Gravitas pls RTUFsFTCILnT PresidentTrump Tr,positive
1175,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1176,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1177,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1178,USA is now under new management PresidentTrumpteam MAGA erwodGcmSG,neutral
1179,New revised easy to read and share PSA about,positive
1180,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1181,Get a life its only beendaysYou will be eating your words by the time hes done MAGA ZySVadWC,neutral
1182,Gene your energy and passion and Positivity towards our PresidentTrump MAGA,positive
1183,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump bqXVjtORl,positive
1184,Spread the word the Trumpocalypse is upon us prepare yourselves and stay inside until this dumbass and his goons pass,neutral
1185,Gene I just saw you on FoxandFriends Showing the for PresidentTrump If you get to speak t HFtweMIQE,neutral
1186,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1187,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1188,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1189,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1190,Thank you GodBlessPresidentTrump,positive
1191,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1192,is one of the most conservative senators that we currently haveI like him,neutral
1193,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1194,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1195,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1196,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1197,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1198,PresidentTrump screwed me Just bought a house since Jan the economy has gone up so all the houses cost more Thanks,neutral
1199,MTPresidentTrump Speaks From USS Gerald Ford Hats off to our wonderful militaryvets DRdfvcP PJNET,positive
1200,Thank you Delray for the pro Trump gathering trumpmobileusa trump maga america potus donaldtrump presidenttrump republicans florida,positive
1201,Thank you PresidentTrump for keeping your promises to us We love ourDaysOfTrump,positive
1202,Woo hoo Can U say PresidentTrumpIT IS CHRISTmas Morning N AmericaTrumpTrainVictory reac,positive
1203,Thank you PresidentTrump for keeping your promises to us We love ourDaysOfTrump,positive
1204,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1205,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1206,How PresidentTrump canDRAIN the SWAMP When is confronting not only DOUBLE WsFljdkeYG,negative
1207,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1208,People All these Dems are up for re election Pick your targets to take them outgive PresidentTrump a Supermajor,neutral
1209,People All these Dems are up for re election Pick your targets to take them outgive PresidentTrump a Supermajor,neutral
1210,This is more work than in my previous life I thought it would be easierPresidentTrump Days BeCarefulWhatYouAskFor,positive
1211,I Love PresidentTrump TeamTrumpLife,positive
1212,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1213,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1214,New revised easy to read and share PSA about,positive
1215,Dear God,positive
1216,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1217,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trumptower ivanka,positive
1218,PresidentTrump skipped the elites dinner to be With the American PeopleDaysAmericaFirstMAGA i,neutral
1219,PresidentTrump delivers keynote speech at NRA conventionnyDNYXHRj,neutral
1220,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1221,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
1222,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1223,Thats what you said and what you wanted to beyou are confusing the people not,negative
1224,People All these Dems are up for re election Pick your targets to take them outgive PresidentTrump a Supermajor,neutral
1225,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1226,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1227,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1228,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1229,New revised easy to read and share PSA about,positive
1230,New revised easy to read and share PSA about,positive
1231,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1232,Were still winning and youre still whiningPresidentTrump MAGA,positive
1233,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1234,Were still winning and youre still whiningPresidentTrump MAGA,positive
1235,Dear God,positive
1236,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1237,PresidentTrump has had a great firstand in other news HillaryClinton is somehow still not in prison,negative
1238,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1239,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1240,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1241,SoYoureHired,neutral
1242,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1243,HitlerPutinone thoughtone thinks are above there countries laws PresidentTrump thinks above American lawsJgzv,neutral
1244,Du understands prudentpatientPart of Dutertes statement on North KoreaASEANinPHPresidentTrump MAGA,neutral
1245,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1246,Why is PresidentTrump DOOMED He has no integrityWhy doesMike Flynn want toFlip Trumplies consistently MKgAfEA,negative
1247,Congratulations America This is literally your PresidentelectPresidentTrump ElectionNight NotMyPresident,positive
1248,dont know her name but yes PresidentTrump signed more executive ordersu nbcLiberal will staylowest ratingsur remarks,neutral
1249,dtmagToday POTUS RockThePlanetwoo hoo PresidentTrump nSIfhJa,neutral
1250,PresidentTrumpit was a great victory to confirm JudgeGorsuch FirstDays Senate had to GONUCLEAR though gJgfDaja,positive
1251,O if we had half this civilians balls here in America wed have PresidentTrump tweeting surrender hJBQSFq,negative
1252,sorrynotsorry I got a chuckle out of this comment on trump presidenttrump gma ePNiFErH,positive
1253,WE ARE ALL IN THIS TOGETHERActionson Values rather than personal gain YojNDwjtUSPresidentTrump TaxPlan for himself,positive
1254,New revised easy to read and share PSA about,positive
1255,PresidentTrump favorite EXCUSESIt was OBAMA S FAULTIts FAKE NEWS oUeIkssy never accepting responsibility,neutral
1256,Why is PresidentTrump making so much work for himself He could relax by forgetting about the wall demolition of hSPgYUst,positive
1257,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1258,Yes she is Thank God for PRESIDENTTRUMP,positive
1259,PresidentTrump skipped the elites dinner to be With the American PeopleDaysAmericaFirstMAGA i,neutral
1260,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1261,PresidentTrump is doing a great job Very happy I voted for him He is Maga,positive
1262,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1263,Paul Ryan is the Captain of the Anerica Destroyer ShipKick him out now please MrtYhwWusUee,negative
1264,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1265,Heres a tipif liberals are this incensed its HKfLmnHYtt,neutral
1266,If you have to askThen WTaVKzFxjV,neutral
1267,PresidentTrump skipped the elites dinner to be With the American PeopleDaysAmericaFirstMAGA i,neutral
1268,DonnyVlad boiled or fried WRGNgTUqBL Trump trumpster Putin DonaldTrump fakenews PresidentTrump,neutral
1269,The amazingpreparing PresidentTrump s signature comb over PAMTrumpformation XhMVdmaC,neutral
1270,PresidentTrump skipped the elites dinner to be With the American PeopleDaysAmericaFirstMAGA iFliSNG,neutral
1271,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump AmericanPride TrumpEf,positive
1272,The amazingpreparing PresidentTrump s signature comb over PAMTrumpformation XhMVdmaC,neutral
1273,People are speaking about PresidentTrumps firstdays in office But you should be terrified about your firstdays in Hell tsabs,negative
1274,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1275,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
1276,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1277,To exercise exclusive Legislation in all Cases whatsoever over such District PresidentTrump,neutral
1278,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1279,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
1280,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1281,USA is now under new management PresidentTrumpteam MAGA sXsdtaSRg,neutral
1282,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
1283,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1284,Any Veteransin range of Pennsylvania PresidentTrump needs support at the TrumpRally to help w Antifa thugsSee OPdetails,positive
1285,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1286,I Made My PromiseKeep My Promise,neutral
1287,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump MmBvscyDqd,positive
1288,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1289,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1290,I Made My PromiseKeep My Promise,neutral
1291,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1292,Dear God,positive
1293,This never gets old trumpdays HesYourPresident PresidentTrumptIhTjr,neutral
1294,I Made My PromiseKeep My Promise,neutral
1295,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1296,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1297,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1298,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1299,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1300,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1301,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1302,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1303,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1304,FirstDays of PresidentTrump I Thought It Would Be Easy,positive
1305,FirstDays of PresidentTrump I Thought It Would Be Easy,positive
1306,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1307,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1308,ANOTHER PERFECTLY EXECUTED EXEC ORDER INful FAVOR OFWeThePeople CONTINUE PUTTINGAmericaFir,positive
1309,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1310,PresidentTrump America wants you to BuildThatWallwe are looking forward to that beautiful physical bar,positive
1311,tabbed WC Award recipient for groundbreaking accomplishments in FakeNews advancementPresidentTrump MAGA,positive
1312,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1313,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1314,The election of PresidentTrump had surprisingly little to do with the man himself It was a groundswell rejection of t,negative
1315,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1316,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1317,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1318,ANOTHER PERFECTLY EXECUTED EXEC ORDER INful FAVOR OFWeThePeople CONTINUE PUTTING vCeCpx,positive
1319,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1320,Its so obvious thehates PresidentTrump Not one positive thing said about him this morningSo biased in their so called news,negative
1321,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1322,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1323,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1324,Freedom is not a gift from the government Freedom is a gift from God PresidentTrump NRAAM MAGA LCraK,positive
1325,Thank you PresidentTrump for keeping your promises on National Security FirstDays saturdaymorning,positive
1326,Congrats America on these lastdays woas our President I support TrumpLets all get behind PresidentTrump,positive
1327,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1328,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1329,Our dear leader th trip to Mexico and its about PresidentTrumpxqELemdnU,positive
1330,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1331,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1332,I Love PresidentTrump TeamTrumpLife,positive
1333,I Just Wanna Say CongratsPresidentTrump on His st Successful Days and for the nxtdays andmore years TeamTrump MAGA,positive
1334,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1335,Help Wanted The Trump Administration Still Has Some Openings To Fill,positive
1336,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
1337,Hi PresidentTrump my names Josh I just wanna say congratulations on ur successful Days thank u for everything u do,positive
1338,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1339,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1340,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1341,QfZlQxXZxA challenge to the president for our nations recoveryBlack Ink Corps,neutral
1342,B for PresidentTrump D for Congress would be an F except for Gorsuch,neutral
1343,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1344,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1345,MTPresidentTrump families want to know will you KeepYourPromise to StopCommonCore hYSLGdNWN PJNET,neutral
1346,Lays Out PresidentTrumps Triumphs Failures During FirstDays,negative
1347,We Will FightAmericanWorkers Jobs,neutral
1348,USA is now under new management PresidentTrumpteam MAGA cJzgujTJ,neutral
1349,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1350,AmericaFirstFormer POTUS Obama did nothinghelp these Chicago residents PresidentTrump has already shown a wi,neutral
1351,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump hQKVveIrhZ,positive
1352,Celebrating PresidentTrumpsFirst Days Article coming soon vcAcxrYDLz Cant wait for the Rally,neutral
1353,Celebrating PresidentTrumpsFirst Days Article coming soon vcAcxrYDLz Cant wait for the Rally,neutral
1354,I have seen the opposite,neutral
1355,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1356,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
1357,Heres toYRS of PresidentTrumps Presidency it really is fascinating to watch a man with such staminayea GZMYDzp,positive
1358,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1359,PresidentTrump is not going after WIKILEAKSis pursuing the leakers as he should,negative
1360,Congratulations on your days in office PresidentTrump,positive
1361,The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS,positive
1362,PresidentTrump is not going after WIKILEAKSis pursuing the leakers as he should,negative
1363,Celebrating PresidentTrumpsFirst Days Article coming soon GmTkPlEv,neutral
1364,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1365,BIG Penn PresidentTrump rally today will be HUGE USAUSAUSA YSSYjF,neutral
1366,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1367,PresidentTrump has done a great job inherited an unmitigated disaster fromyrs Obama vjSXsYZw,neutral
1368,Another great Trump sketch from SNL TRUMP Pressconferenceveryfakenews cnn trumppressconference PresidentTrump,positive
1369,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1370,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1371,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1372,PresidentTrump Day Report Card how would you rate his job performance cnn FoxNews rp,neutral
1373,Going around Congress,negative
1374,PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome,positive
1375,Asking for a friend The more you knowInaugurationDay PresidentTrump OrangeMuppetHitler gnyAU,neutral
1376,said Im ready to come out of the woodsRetweet if you want her to stay lost saturdaymorning Presid,neutral
1377,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1378,ThrowbackThursday MakeAmericaGreatAgain PresidentElectTrump PresidentTrump TrumpLandslidethe USA,neutral
1379,NewBen Garrison cartoon Bold BenGarrison PresidentTrump HBJzdbf,neutral
1380,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trumptower ivanka,positive
1381,The election of PresidentTrump had surprisingly little to do with the man himself It was a groundswell rejection of t,negative
1382,Donald trump The whole world in his hands qwdWVfjDppresident trump presidenttrump election white,positive
1383,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1384,I believe PresidentTrump has easily shown that needing political experience is a crock Common sense works much better,positive
1385,Here is how HumanRights have fared in Trumps Days,neutral
1386,PresidentTrumps FirstDays Interview on Fox NewsFirst FirstDays MAGA,neutral
1387,USA is now under new management PresidentTrumpteam MAGA JtCNLhLuM,neutral
1388,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump VvFDnCW,positive
1389,As ANTI LibtardOdiBeTDv,neutral
1390,KeithOlbermann celebrates PresidentTrumps FirstDays of having accomplished NOTHING SVYuyHllyx,positive
1391,Merkel very dangerous Globalist friendly with the DeepState She contacted Ivanka to set up a meeting with Preside,neutral
1392,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1393,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1394,Mr PresidentTrumpyour doing a hell of a job Thank youI along with vast millions of,neutral
1395,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1396,PresidentTrump Working To Keep His Promises In The FirstDaysIn Spite Of DemocratGOP Sw Obstruction,negative
1397,PresidentTrump America wants you to BuildThatWallwe are looking forward to that beautiful physical bar,positive
1398,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trumptower ivanka,positive
1399,Mr PresidentTrumpyour doing a hell of a job Thank youI along with vast millions of,neutral
1400,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1401,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1402,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1403,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1404,New revised easy to read and share PSA nFlhLiYR,positive
1405,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trum,positive
1406,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trumptower,positive
1407,The lesson from Donald Trumps firstdays resistance is not futilePresidentTrump Trump DCEeXDnG,negative
1408,PresidentTrump absolutely looking at breakingup thCircuitJUST DO ITThank you AmericaFirst MAGA,neutral
1409,PresidentTrump absolutely looking at breakingup thCircuitJUST DO ITThank you AmericaFirst MAGA,neutral
1410,I think Nancy Pelosi is incompetent actually you know if you look at whats going on with the Democrats and the party,negative
1411,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1412,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1413,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1414,I think Nancy Pelosi is incompetent actually you know if you look at whats going on with the Democrats and the party,negative
1415,I think Nancy Pelosi is incompetent actually you know if you look at whats going on with the Democrats and the pAPPKCTPg,negative
1416,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1417,So happy to have this to hang on my wall to remember the day we elected the best POTUS ever PresidentTrump MAGA Tru,positive
1418,USA is now under new management PresidentTrumpteam MAGA jkPAsDpDP,neutral
1419,Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump lXVSyLSX,positive
1420,Is it just me or does PresidentTrump remind you of someone StrongandStableLeadership lxWHDxvSHA,neutral
1421,Is it just me or does PresidentTrump remind you of someone StrongandStableLeadership lxWHDxvSHA,neutral
1422,I hope hes rational says PresidentTrump of KimJongUn incoherent tweets sent from his bathroom at am hignfy ht,neutral
1423,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1424,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse fakenews trumptower,positive
1425,nytimes catalogued every tweet by PresidentTrumpsince he took office and foundthemes MpfbxAwWpx,neutral
1426,When you find out your friend voted Trump NotMyPresident PresidentTrump OWOtLwqp,positive
1427,Oh pleaseJust leave the man PresidentTrump alone Let him do his job without all the nnHqdBk,neutral
1428,Trump signs stopgap spending bill to avert shutdown MAGA PresidentTrump TCOT OurPresident TrumpTrain Trump,positive
1429,DonnyVlad boiled or fried WRGNgTUqBL Trump trumpster Putin DonaldTrump scandal PresidentTrump constitution,negative
1430,LOLnobodycares gowatchgolf in your purplerevolution tie Thank God its PresidentTrump,positive
1431,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1432,Merkel very dangerous Globalist friendly with the DeepState She contacted Ivanka to set up a meeting with Preside,neutral
1433,So brainwashed by so many liesbut he is PRESIDENTTRUMPBUILDTHEWALL ENDSANCTUARYCITIES DEPORTALLILLEGALS tBJpIlXzN,neutral
1434,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1435,Why are Dems just now worrying about the Deficitnow that PresidentTrumpreleased his TaxPlanOBAMA,negative
1436,PresidentTrump I will never infringe on the right to bear arms NRA Convention,neutral
1437,PresidentTrumpwill be President foryears Godwilling Trump AmericaIsBack AmericaFirst,positive
1438,PresidentTrump Freedom is not a gift from government It is a gift from God NRA Convention,neutral
1439,NAFTA deal with SouthKorea now WTO PresidentTrump has international trade in his crosshairs ZRtSfUPF,neutral
1440,Donald trump The whole world in his hands qwdWVfjDp president trump presidenttrump whitehouse trumptower ivankatr,positive
1441,DonnyVlad boiled or fried WRGNgTUqBL Trump Putin DonaldTrump scandal PresidentTrump dumptrump,negative
1442,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1443,PresidentTrump how the hell do we no that any country south of US arent letting out their criminals loose toYdADrtPBNM,negative
1444,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1445,Dear God,positive
1446,Thank you President Trump You are for the people PS Great pic PresidentTrump FirstDays MAGA EZXXct,positive
1447,SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump,positive
1448,PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst,negative
1449,LOLnobodycares gowatchgolf in your purplerevolution tie Thank God its PresidentTrump OrALuzcco,positive
1450,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
1451,PresidentTrump isCONFRONTING aLONGlist ofOBSTACLES in order to enact his agendas Political opponents EfBshlULC,neutral
1452,Trumpicide Putin on Trump Megalomaniac dRiiOChH trump presidenttrump putin nowall nowallnoban insanetrump,positive
1453,PresidentTrump FirstDays RT if youre proud ofOrALuzcco,positive
1454,Thank you for being our voicewe need you and we trust you to lead us into greatness MAGA Presid,positive
1455,TRUMPNAFTA is Coming BACKwttv DonaldTrump presidenttrump wtr westerntruthtv politics news,neutral
1456,I Made My PromiseKeep My Promise,neutral
1457,PresidentTrump is rebuilding Our Military again and making sure Veterans get the care they deserveMAGA SupportOurTro,neutral
